Tree_Size,Runtime
21280,0.001000
512,0.000000
3655,0.000000
2468,0.000000
14159,0.001000
4629,0.000000
23022,0.000000
32471,0.000000
2440,0.000000
28118,0.001000
7103,0.000000
3871,0.000000
25093,0.001000
16983,0.001000
15613,0.000000
26466,0.001000
20741,0.001000
11892,0.000000
4927,0.000000
1677,0.000000
13635,0.000000
4708,0.000000
21016,0.000000
3133,0.000000
21817,0.001000
4579,0.000000
15751,0.001000
11539,0.000000
21281,0.000000
27719,0.001000
5337,0.000000
18638,0.000000
22475,0.001000
26205,0.000000
1557,0.000000
24273,0.001000
6848,0.000000
31534,0.001000
27271,0.001000
31838,0.001000
23727,0.000000
14387,0.000000
2096,0.001000
20241,0.000000
1565,0.000000
29863,0.001000
20015,0.001000
16805,0.000000
26298,0.001000
8061,0.000000
13753,0.001000
11154,0.000000
10906,0.000000
9754,0.000000
30320,0.001000
13847,0.000000
30489,0.001000
26390,0.001000
7024,0.000000
16063,0.001000
29357,0.001000
23589,0.001000
8110,0.000000
17534,0.001000
9184,0.000000
25826,0.001000
6185,0.001000
14698,0.000000
28508,0.001000
31750,0.000000
18957,0.000000
27428,0.001000
25747,0.001000
5121,0.000000
16395,0.000000
18277,0.001000
14883,0.001000
24915,0.001000
22619,0.001000
8542,0.001000
12696,0.000000
8537,0.000000
23787,0.001000
3645,0.001000
2994,0.000000
16970,0.001000
30562,0.001000
8339,0.000000
16682,0.001000
3697,0.000000
24945,0.001000
6702,0.000000
26244,0.001000
22703,0.001000
3222,0.000000
29003,0.001000
31278,0.001000
28124,0.001000
15543,0.000000
25748,0.001000
22345,0.001000
4740,0.000000
23897,0.000000
21323,0.000000
24773,0.001000
32440,0.001000
27787,0.001000
11584,0.000000
17502,0.001000
17008,0.001000
29079,0.001000
8793,0.000000
16656,0.000000
10111,0.001000
25864,0.001000
13092,0.001000
7045,0.000000
26768,0.001000
7146,0.000000
10924,0.000000
26379,0.001000
14037,0.000000
4697,0.000000
21182,0.001000
17843,0.001000
9792,0.000000
21314,0.001000
6704,0.000000
24950,0.001000
3731,0.000000
13065,0.001000
24058,0.001000
5483,0.000000
31514,0.001000
26988,0.001000
13786,0.000000
6568,0.000000
1977,0.000000
26434,0.000000
7949,0.000000
19748,0.000000
24781,0.001000
8555,0.000000
21777,0.001000
1280,0.000000
10122,0.001000
6723,0.000000
27674,0.001000
24296,0.000000
3576,0.000000
17493,0.000000
14136,0.000000
3526,0.000000
11064,0.000000
499,0.000000
31165,0.001000
15889,0.000000
1562,0.000000
21159,0.000000
6604,0.000000
13177,0.000000
298,0.000000
30887,0.000000
4262,0.000000
23463,0.001000
1703,0.000000
24926,0.001000
6124,0.000000
5749,0.000000
5724,0.000000
13547,0.000000
10687,0.000000
20481,0.000000
21474,0.001000
22148,0.001000
26231,0.001000
2973,0.000000
22957,0.001000
19740,0.001000
31837,0.000000
1876,0.000000
8769,0.000000
23347,0.000000
8368,0.000000
9474,0.000000
12002,0.001000
31454,0.001000
4763,0.000000
1185,0.000000
14629,0.001000
28179,0.000000
11185,0.001000
32236,0.001000
29725,0.001000
26680,0.001000
23324,0.000000
8512,0.001000
18205,0.001000
3897,0.000000
17517,0.000000
30273,0.001000
15375,0.000000
22501,0.000000
4842,0.000000
10999,0.000000
24931,0.001000
19942,0.001000
25576,0.000000
5304,0.000000
7546,0.000000
12737,0.000000
693,0.001000
15995,0.000000
7950,0.001000
15702,0.000000
8910,0.000000
5545,0.000000
21869,0.001000
10981,0.000000
16385,0.000000
6038,0.000000
8369,0.000000
2039,0.000000
13143,0.000000
26655,0.001000
26931,0.001000
23114,0.001000
320,0.000000
10839,0.001000
6482,0.000000
26548,0.001000
15734,0.000000
25912,0.001000
13972,0.000000
16937,0.000000
8687,0.000000
7340,0.000000
25401,0.000000
4547,0.000000
20114,0.000000
11419,0.001000
2307,0.000000
8213,0.000000
18178,0.001000
32676,0.000000
12088,0.001000
3961,0.000000
24748,0.001000
18131,0.000000
16471,0.001000
6011,0.000000
9758,0.000000
7523,0.001000
19265,0.001000
31717,0.001000
2002,0.000000
12010,0.001000
26624,0.001000
8863,0.001000
28556,0.000000
1661,0.000000
28533,0.001000
31254,0.001000
12177,0.000000
16245,0.001000
30935,0.001000
20978,0.000000
6322,0.000000
17756,0.000000
22759,0.001000
19667,0.001000
31051,0.001000
23198,0.001000
10994,0.000000
9872,0.001000
26618,0.001000
7823,0.000000
12957,0.000000
17117,0.000000
3391,0.000000
19140,0.001000
28192,0.001000
19848,0.000000
14055,0.001000
32628,0.001000
17758,0.001000
24059,0.001000
811,0.001000
23257,0.001000
18792,0.000000
29809,0.001000
11160,0.000000
17344,0.001000
3307,0.000000
27288,0.001000
27396,0.001000
404,0.000000
9529,0.000000
32460,0.001000
22280,0.001000
22569,0.001000
11084,0.000000
2227,0.000000
20243,0.000000
20343,0.000000
6267,0.001000
10325,0.000000
7144,0.000000
14543,0.000000
10606,0.000000
23387,0.001000
16630,0.001000
25130,0.000000
497,0.000000
13082,0.001000
4802,0.001000
502,0.000000
27164,0.001000
17071,0.000000
18134,0.001000
11166,0.000000
24546,0.001000
15237,0.000000
6363,0.000000
5607,0.000000
6669,0.000000
19010,0.000000
11194,0.000000
14496,0.001000
6174,0.000000
22889,0.000000
19141,0.001000
17145,0.000000
22566,0.001000
7692,0.001000
172,0.000000
14150,0.000000
17981,0.001000
3713,0.000000
3819,0.000000
14727,0.001000
21169,0.001000
1111,0.000000
16187,0.001000
7296,0.000000
27809,0.001000
10232,0.000000
31279,0.001000
24638,0.000000
20743,0.000000
4826,0.000000
20084,0.000000
16956,0.000000
24111,0.001000
