Tree_Size,Runtime
19441,0.000506
18599,0.000418
31642,0.000646
31299,0.000658
5693,0.000110
12395,0.000209
18027,0.000362
27656,0.000505
4520,0.000076
13450,0.000255
24062,0.000492
3534,0.000068
25399,0.000514
15489,0.000334
9937,0.000500
28053,0.000535
25790,0.000936
30980,0.000762
28609,0.001207
33,0.000001
19786,0.000406
4905,0.000092
32453,0.000740
31912,0.000602
29067,0.000538
18254,0.000406
29294,0.000517
2670,0.000044
25958,0.000473
14794,0.000302
2882,0.000046
21311,0.000584
32476,0.000544
24060,0.000392
25403,0.000411
18008,0.000302
4891,0.000080
30733,0.000514
5392,0.000085
9026,0.000222
19866,0.000336
28963,0.000490
8158,0.000127
29072,0.001145
28989,0.000494
31298,0.000589
31478,0.000619
4811,0.000074
1110,0.000017
17570,0.000295
4058,0.000063
12964,0.000226
10461,0.000173
30107,0.000543
23299,0.000470
27831,0.000481
29082,0.000499
12958,0.000218
28296,0.000495
3284,0.000058
5300,0.000095
10674,0.000176
818,0.000013
26825,0.000518
22288,0.000463
12155,0.000250
21491,0.000390
947,0.000018
21168,0.000366
27622,0.000458
26139,0.000491
4250,0.000071
25059,0.000442
31174,0.000579
23111,0.000499
22727,0.000444
3809,0.000062
14978,0.000263
30565,0.000523
16658,0.000289
31249,0.000585
22204,0.000376
12521,0.000211
22873,0.000423
7646,0.000125
5104,0.000087
8401,0.000131
25481,0.000430
14415,0.000253
11281,0.000271
30187,0.000622
18755,0.000396
25904,0.000425
9962,0.000158
28619,0.000476
20636,0.000389
25151,0.000419
5068,0.000078
23704,0.000445
24618,0.000438
26782,0.000704
29990,0.000508
10132,0.000163
960,0.000015
27294,0.000452
28312,0.000474
88,0.000001
3179,0.000050
12648,0.000209
30531,0.000495
19080,0.000360
16669,0.000306
12945,0.000262
1002,0.000017
376,0.000006
19975,0.000335
18812,0.000302
1146,0.000018
4082,0.000066
27148,0.000482
2741,0.000042
31549,0.000553
23840,0.000481
22068,0.000369
10288,0.000159
12626,0.000220
5052,0.000082
25241,0.000439
7269,0.000112
18050,0.000361
27757,0.000464
22350,0.000452
26213,0.000448
27195,0.000466
6442,0.000103
10623,0.000167
4036,0.000063
22902,0.000389
14703,0.000246
2172,0.000034
18014,0.000301
12482,0.000211
12356,0.000262
24414,0.000398
32181,0.000527
21406,0.000412
13419,0.000382
4215,0.000144
25621,0.000460
25014,0.000421
25581,0.000450
24551,0.000423
32496,0.000545
27679,0.000603
27965,0.000525
15571,0.000249
15585,0.000245
31074,0.000709
15231,0.000250
31842,0.000616
2963,0.000046
13979,0.000642
28506,0.000487
18858,0.000318
30080,0.000500
24898,0.000498
7151,0.000153
17328,0.000357
983,0.000019
32333,0.000555
696,0.000011
20814,0.000345
24974,0.000624
27346,0.000475
14610,0.000237
26773,0.000465
23186,0.000526
29500,0.000518
15616,0.000320
16121,0.000267
31934,0.000601
9284,0.000233
6889,0.000117
20921,0.000360
21554,0.000441
31141,0.000554
16442,0.000323
2117,0.000035
18478,0.000304
23012,0.000388
23862,0.000385
28711,0.000476
18558,0.000318
14206,0.000219
22339,0.000388
15212,0.000259
6387,0.000104
30859,0.000534
25748,0.000566
25288,0.000429
16472,0.000277
13340,0.000249
13001,0.000210
19939,0.000389
31873,0.000583
1312,0.000026
5239,0.000082
20445,0.000345
29561,0.000606
29629,0.000534
25782,0.000445
4303,0.000071
9244,0.000213
32174,0.000567
18077,0.000302
12915,0.000279
7099,0.000124
22822,0.000439
25773,0.000442
9667,0.000156
10260,0.000161
13734,0.000235
13837,0.000292
1106,0.000018
5132,0.000096
842,0.000014
2177,0.000036
20362,0.000331
14257,0.000337
21644,0.000423
27295,0.000487
9861,0.000157
18101,0.000306
14376,0.000239
18957,0.000353
26801,0.000472
20550,0.000362
10754,0.000173
15406,0.000252
23590,0.000464
25303,0.000492
9,0.000000
30323,0.000515
19027,0.000319
1969,0.000031
11622,0.000182
1258,0.000019
12797,0.000218
13089,0.000276
3484,0.000059
2465,0.000039
32502,0.000580
32024,0.000543
16945,0.000274
21384,0.000376
18154,0.000310
6343,0.000100
13281,0.000220
12147,0.000195
17714,0.000308
22843,0.000385
14148,0.000230
4763,0.000075
18815,0.000318
4481,0.000073
23787,0.000445
21932,0.000378
4138,0.000065
14898,0.000258
30948,0.000577
30322,0.000507
28707,0.000480
27402,0.000605
10857,0.000237
9351,0.000147
4142,0.000064
21491,0.000354
23017,0.000399
9141,0.000145
2773,0.000044
24662,0.000472
19999,0.000399
12301,0.000209
25041,0.000441
3475,0.000055
8664,0.000158
11171,0.000210
19418,0.000380
31365,0.000572
16848,0.000282
15916,0.000278
14629,0.000255
25558,0.000444
22284,0.000381
25355,0.000557
8639,0.000184
31784,0.000535
17837,0.000302
22552,0.000389
3595,0.000056
29659,0.000527
7639,0.000139
7866,0.000131
26538,0.000636
18589,0.000859
17004,0.000326
27651,0.000564
23310,0.000391
24716,0.000437
4248,0.000066
8851,0.000138
13823,0.000276
12661,0.000211
3810,0.000065
22323,0.000378
30899,0.000547
26817,0.000459
16042,0.000253
12175,0.000199
29323,0.000633
27822,0.000556
5464,0.000124
15160,0.000305
21838,0.000693
7039,0.000124
5663,0.000090
32620,0.000701
26273,0.000432
14599,0.000229
13534,0.000221
20188,0.000332
30602,0.000577
32674,0.000817
14652,0.000252
25291,0.000520
16893,0.000269
19022,0.000313
18370,0.000323
26766,0.000510
20632,0.000350
5652,0.000094
25180,0.000435
513,0.000008
8677,0.000138
28854,0.000517
21722,0.000363
27969,0.000487
20674,0.000363
28821,0.000488
2921,0.000046
26561,0.000505
4121,0.000064
14950,0.000249
8708,0.000149
15889,0.000455
29520,0.000484
10827,0.000171
274,0.000004
17344,0.000279
9718,0.000159
16804,0.000362
7739,0.000125
9186,0.000147
32425,0.000545
4655,0.000073
10305,0.000169
2901,0.000045
13245,0.000215
11574,0.000197
23018,0.000391
7246,0.000113
8506,0.000143
5148,0.000084
15859,0.000313
21923,0.000398
24084,0.000860
12569,0.000267
26310,0.000426
21103,0.000346
3471,0.000054
18890,0.000315
11359,0.000240
718,0.000013
21521,0.000446
19643,0.000399
4027,0.000066
25766,0.000558
12251,0.000197
10542,0.000174
24744,0.000428
1337,0.000020
24751,0.000420
11023,0.000219
26965,0.000453
16760,0.000398
16229,0.000269
31651,0.000547
3352,0.000053
31612,0.000567
12515,0.000202
27064,0.000481
12874,0.000211
22740,0.000391
24260,0.000432
28786,0.000508
31377,0.000513
19366,0.000320
23329,0.000396
29222,0.000490
5158,0.000088
24940,0.000440
26778,0.000453
8054,0.000136
30932,0.000513
4724,0.000073
