Test Case,Array Size,Kth Smallest Element Position,Runtime
2748,9266,669,0.000019
2750,4729,408,0.000018
2762,5830,572,0.000019
2770,30297,204,0.000019
2774,23746,895,0.000019
2775,16908,390,0.000019
2807,1955,644,0.000016
2837,7696,851,0.000019
2843,9973,869,0.000019
2855,13018,552,0.000023
2857,1613,515,0.000015
2877,1130,553,0.000012
2879,11717,506,0.000021
2883,1690,858,0.000018
2884,11858,790,0.000018
2889,1525,609,0.000014
2892,23350,90,0.000019
2895,577,95,0.000008
2902,23935,61,0.000019
2919,1106,804,0.000013
2927,9797,163,0.000018
2937,14044,281,0.000019
2943,13924,986,0.000019
2944,2377,570,0.000017
2945,4954,384,0.000018
2946,914,687,0.000011
2949,10794,515,0.000021
2963,544,706,0.000008
2967,137,135,0.000002
2969,1636,901,0.000014
2979,25703,643,0.000019
2992,21360,128,0.000020
2993,777,249,0.000010
3005,11628,332,0.000019
3014,1575,89,0.000017
3016,9017,50,0.000019
3020,24776,731,0.000026
3023,2246,172,0.000017
3037,10781,235,0.000019
3047,2643,288,0.000017
3053,157,363,0.000003
3055,9607,262,0.000019
3058,4041,982,0.000019
3066,1025,595,0.000012
3068,1680,619,0.000018
3077,679,788,0.000009
3084,3804,314,0.000021
3093,20240,939,0.000019
3094,4397,521,0.000018
3107,1964,378,0.000014
3120,1356,885,0.000014
3127,8681,434,0.000022
3131,6048,634,0.000018
3137,953,114,0.000012
3139,13579,13,0.000024
3153,3262,857,0.000018
3165,4378,581,0.000019
3174,12070,435,0.000019
3181,14878,29,0.000018
3185,32472,6,0.000018
3187,29206,405,0.000019
3193,1239,36,0.000013
3210,1721,437,0.000015
3220,5009,247,0.000018
3227,19788,518,0.000023
3239,14558,187,0.000019
3243,329,162,0.000005
3251,899,297,0.000011
3289,904,522,0.000015
3295,23392,426,0.000021
3305,3180,56,0.000019
3307,12588,769,0.000019
3312,3499,366,0.000018
3320,1125,111,0.000016
3323,8511,630,0.000018
3354,1583,149,0.000020
3358,17615,860,0.000021
3359,27659,675,0.000019
3397,7416,51,0.000019
3404,10156,927,0.000019
3415,18499,771,0.000017
3419,24478,129,0.000019
3421,611,273,0.000011
3422,2655,578,0.000022
3429,8784,833,0.000023
3430,2184,111,0.000021
3436,2260,995,0.000017
3445,2232,600,0.000021
3453,10748,138,0.000022
3455,22359,1,0.000022
3461,297,374,0.000005
3474,4486,783,0.000019
3493,6763,799,0.000018
3495,14215,884,0.000019
3497,3707,942,0.000018
3499,19018,119,0.000019
3502,6055,353,0.000019
3503,6564,262,0.000021
3514,16312,440,0.000019
3526,5075,974,0.000021
3529,1360,100,0.000014
3538,4156,613,0.000019
3552,25602,81,0.000019
3553,13536,960,0.000019
3558,2223,420,0.000017
3577,10229,428,0.000020
3582,193,352,0.000003
3583,4673,117,0.000023
3587,1678,739,0.000015
3606,2632,869,0.000018
3607,26105,528,0.000019
3608,53,265,0.000001
3609,15636,747,0.000024
3614,77,922,0.000001
3615,848,990,0.000011
3618,14794,48,0.000024
3620,22693,628,0.000019
3634,474,932,0.000007
3639,25500,94,0.000019
3640,7462,952,0.000018
3653,1606,938,0.000015
3655,5102,911,0.000019
3656,197,971,0.000003
3664,3065,881,0.000016
3667,2141,618,0.000017
3673,3122,687,0.000019
3697,1652,938,0.000016
3698,4165,34,0.000019
3706,2935,144,0.000023
3713,6896,437,0.000018
3715,28941,716,0.000021
3716,5097,319,0.000019
3719,9110,775,0.000024
3721,25562,535,0.000019
3724,15957,8,0.000019
3725,32059,162,0.000019
3726,1159,145,0.000012
3730,29020,555,0.000018
3734,14414,208,0.000018
3737,10962,176,0.000018
3746,31042,545,0.000019
3756,16949,224,0.000018
3770,45,529,0.000000
3772,126,258,0.000002
3773,21234,700,0.000021
3778,11453,577,0.000018
3782,15438,590,0.000019
3784,21480,363,0.000019
3793,11090,520,0.000019
3797,18695,210,0.000019
3798,633,62,0.000009
3811,11178,826,0.000023
3812,23393,397,0.000019
3816,20670,503,0.000018
3817,13531,658,0.000019
3824,2603,768,0.000017
3826,11511,644,0.000018
3832,4298,777,0.000019
3834,8251,341,0.000024
3835,7681,746,0.000020
3862,2908,537,0.000023
3867,4020,224,0.000019
3876,12883,125,0.000018
3877,26571,912,0.000019
3881,6457,630,0.000019
3911,3125,359,0.000017
3913,6063,262,0.000018
3914,3751,227,0.000018
3927,30047,327,0.000019
3929,630,475,0.000008
3934,349,498,0.000006
3947,19411,774,0.000018
3968,15813,763,0.000018
3971,10431,552,0.000022
3973,28174,975,0.000024
3974,20770,769,0.000019
3978,29405,204,0.000024
3991,349,32,0.000005
3997,1047,981,0.000012
4006,9884,696,0.000018
4007,589,324,0.000008
4009,1225,137,0.000014
4013,1978,540,0.000016
4015,7012,165,0.000018
4018,995,916,0.000012
4030,26506,932,0.000019
4032,666,669,0.000010
4040,2537,914,0.000017
4051,2374,612,0.000017
4055,6006,243,0.000019
4095,16687,768,0.000018
4105,571,816,0.000008
4112,6582,592,0.000018
4113,23859,926,0.000019
4121,5795,829,0.000024
4126,2208,389,0.000021
4132,552,755,0.000008
4133,21733,346,0.000019
4134,3981,715,0.000018
4162,28166,702,0.000019
4165,16003,247,0.000019
4174,20569,628,0.000019
4175,1084,248,0.000012
4183,2973,70,0.000013
